metric,mouse_id,event_name,tw_start_min,tw_end_min,value,n_cells
firing_rate,250724_z253-4,immobile,-45,0,0.140282303,214
firing_rate,250731_z254-6,immobile,-45,0,0.044300996,51
firing_rate,250801_z253-4,immobile,-45,0,0.082571164,137
firing_rate,250828_z254-3,immobile,-45,0,0.06700816,43
firing_rate,251223_z255-2,immobile,-45,0,0.114278063,95
firing_rate,260120_z255-4,immobile,-45,0,0.103455119,217
firing_rate,260123_z286-2,immobile,-45,0,0.070614673,119
firing_rate,260219_z303-1,immobile,-45,0,0.043336496,77
firing_rate,250722_z253-2*,immobile,-45,0,0.136590227,75
firing_rate,260205_z286-1*,immobile,-45,0,0.067879558,202
firing_rate,250724_z253-4,immobile,0,45,0.139511585,214
firing_rate,250731_z254-6,immobile,0,45,0.034697134,51
firing_rate,250801_z253-4,immobile,0,45,0.082090043,137
firing_rate,250828_z254-3,immobile,0,45,0.054722048,43
firing_rate,251223_z255-2,immobile,0,45,0.119356826,95
firing_rate,260120_z255-4,immobile,0,45,0.120835572,217
firing_rate,260123_z286-2,immobile,0,45,0.06316375,119
firing_rate,260219_z303-1,immobile,0,45,0.039268784,77
firing_rate,250722_z253-2*,immobile,0,45,0.114673652,75
firing_rate,260205_z286-1*,immobile,0,45,0.083067551,202
firing_rate,250724_z253-4,immobile,45,120,0.112345532,214
firing_rate,250731_z254-6,immobile,45,120,0.040622327,51
firing_rate,250801_z253-4,immobile,45,120,0.101887718,137
firing_rate,250828_z254-3,immobile,45,120,0.057250377,43
firing_rate,251223_z255-2,immobile,45,120,0.135231942,95
firing_rate,260120_z255-4,immobile,45,120,0.116151303,217
firing_rate,260123_z286-2,immobile,45,120,0.081430919,119
firing_rate,260219_z303-1,immobile,45,120,0.039916787,77
firing_rate,250722_z253-2*,immobile,45,120,0.104644105,75
firing_rate,260205_z286-1*,immobile,45,120,0.099197671,202
firing_rate,250724_z253-4,mobile,-45,0,0.204771698,214
firing_rate,250731_z254-6,mobile,-45,0,0.044113845,51
firing_rate,250801_z253-4,mobile,-45,0,0.131913528,137
firing_rate,250828_z254-3,mobile,-45,0,0.062166382,43
firing_rate,251223_z255-2,mobile,-45,0,0.113220945,95
firing_rate,260120_z255-4,mobile,-45,0,0.168942451,217
firing_rate,260123_z286-2,mobile,-45,0,0.133749187,119
firing_rate,260219_z303-1,mobile,-45,0,0.081280023,77
firing_rate,250722_z253-2*,mobile,-45,0,0.217941254,75
firing_rate,260205_z286-1*,mobile,-45,0,0.132239819,202
firing_rate,250724_z253-4,mobile,0,45,0.198099673,214
firing_rate,250731_z254-6,mobile,0,45,0.036831748,51
firing_rate,250801_z253-4,mobile,0,45,0.121970534,137
firing_rate,250828_z254-3,mobile,0,45,0.054127116,43
firing_rate,251223_z255-2,mobile,0,45,0.194207549,95
firing_rate,260120_z255-4,mobile,0,45,0.198235765,217
firing_rate,260123_z286-2,mobile,0,45,0.13025631,119
firing_rate,260219_z303-1,mobile,0,45,0.063401707,77
firing_rate,250722_z253-2*,mobile,0,45,0.171958834,75
firing_rate,260205_z286-1*,mobile,0,45,0.134243056,202
firing_rate,250724_z253-4,mobile,45,120,0.192575991,214
firing_rate,250731_z254-6,mobile,45,120,0.041130759,51
firing_rate,250801_z253-4,mobile,45,120,0.138378084,137
firing_rate,250828_z254-3,mobile,45,120,0.059930302,43
firing_rate,251223_z255-2,mobile,45,120,0.197071299,95
firing_rate,260120_z255-4,mobile,45,120,0.185694858,217
firing_rate,260123_z286-2,mobile,45,120,0.15399684,119
firing_rate,260219_z303-1,mobile,45,120,0.078068495,77
firing_rate,250722_z253-2*,mobile,45,120,0.182578221,75
firing_rate,260205_z286-1*,mobile,45,120,0.168448344,202
mouse_all_cell_spearman_pairwise_correlation,250724_z253-4,immobile,-45,0,0.008242272,214
