frame,x,y
0,167.0,190.0
1,167.0,190.0
2,167.0,190.0
3,167.0,190.0
4,167.0,190.0
5,167.0,190.0
6,167.0,190.0
7,167.0,190.0
8,167.0,190.0
9,167.0,190.0
10,167.0,190.0
11,167.0,190.0
12,167.0,190.0
13,167.0,190.0
14,167.0,190.0
15,167.0,190.0
16,167.0,190.0
17,167.0,190.0
18,167.0,190.0
19,167.0,190.0
20,167.0,190.0
21,167.0,190.0
22,167.0,190.0
23,167.0,190.0
24,167.0,190.0
25,167.0,190.0
26,167.0,190.0
27,167.0,190.0
28,167.0,190.0
29,167.0,190.0
30,167.0,190.0
31,167.0,190.0
32,167.0,190.0
33,167.0,190.0
34,167.0,190.0
35,167.0,190.0
36,167.0,190.0
37,167.0,190.0
38,167.0,190.0
39,167.0,190.0
40,167.0,190.0
41,167.0,190.0
42,167.0,190.0
43,167.0,190.0
44,167.0,190.0
45,167.0,190.0
46,167.0,190.0
47,167.0,190.0
48,167.0,190.0
49,167.0,190.0
50,167.0,190.0
51,167.0,190.0
52,167.0,190.0
53,167.0,190.0
54,167.0,190.0
55,167.0,190.0
56,167.0,190.0
57,167.0,190.0
58,167.0,190.0
59,167.0,190.0
60,167.0,190.0
61,167.0,190.0
62,167.0,190.0
63,167.0,190.0
64,167.0,190.0
65,167.0,190.0
66,167.0,190.0
67,167.0,190.0
68,167.0,190.0
69,167.0,190.0
70,167.0,190.0
71,167.0,190.0
72,167.0,190.0
73,167.0,190.0
74,167.0,190.0
75,167.0,190.0
76,167.0,190.0
77,167.0,190.0
78,167.0,190.0
79,167.0,190.0
80,167.0,190.0
81,167.0,190.0
82,167.0,190.0
83,167.0,190.0
84,167.0,190.0
85,167.0,190.0
86,167.0,190.0
87,167.0,190.0
88,167.0,190.0
89,167.0,190.0
90,167.0,190.0
91,167.0,190.0
92,167.0,190.0
93,167.0,190.0
94,167.0,190.0
95,167.0,190.0
96,167.0,190.0
97,167.0,190.0
98,167.0,190.0
99,167.0,190.0
100,167.0,190.0
101,167.8,189.3
102,168.6,188.6
103,169.4,187.9
104,170.2,187.2
105,171.0,186.5
106,171.8,185.8
107,172.6,185.1
108,173.4,184.4
109,174.2,183.7
110,175.0,183.0
111,175.0,183.0
112,175.0,183.0
113,175.0,183.0
