,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,snout,snout,snout,centroid,centroid,centroid,left_lateral,left_lateral,left_lateral,right_lateral,right_lateral,right_lateral,tail_base,tail_base,tail_base,head_center,head_center,body_center,body_center,time
,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,x,y,
0,75.2,197.8,1.0,109.6,195.1,1.0,61.84,158.9,1.0,115.8,246.5,1.0,89.7,242.0,0.999,135.5,239.0,1.0,128.1,283.8,1.0,82.2,184.0,117.25,252.8,2025-04-30 07:35:26.172104192+09:00
1,87.5,222.9,0.9966,110.25,190.0,1.0,64.9,155.6,1.0,118.4,247.4,1.0,99.44,253.0,1.0,136.6,239.5,1.0,127.25,284.5,1.0,87.5,189.5,120.44,256.0,2025-04-30 07:35:26.221340160+09:00
2,90.0,216.8,0.9966,114.44,209.0,1.0,76.6,160.8,1.0,119.94,250.4,1.0,101.25,254.4,1.0,139.4,241.8,1.0,128.9,289.5,1.0,93.7,195.5,122.4,259.0,2025-04-30 07:35:26.302862848+09:00
3,103.2,235.2,0.9995,124.3,219.2,1.0,118.9,187.6,0.999,120.56,260.2,1.0,100.0,255.6,0.9995,139.9,253.0,1.0,127.4,294.8,1.0,115.5,214.0,122.0,266.0,2025-04-30 07:35:26.323350016+09:00
4,109.1,230.9,1.0,127.4,223.4,1.0,116.25,197.9,0.985,120.3,259.0,1.0,92.8,265.2,1.0,144.2,253.9,1.0,126.3,296.8,1.0,117.56,217.4,120.94,268.8,2025-04-30 07:35:26.373381888+09:00
5,101.56,226.2,1.0,126.9,221.1,1.0,113.7,193.4,0.9995,115.8,256.8,1.0,87.2,269.2,1.0,139.5,254.4,1.0,124.5,295.5,1.0,114.06,213.6,116.75,269.0,2025-04-30 07:35:26.422885888+09:00
6,101.56,221.0,0.912,124.3,214.2,1.0,112.2,191.1,0.8833,109.2,256.8,1.0,80.2,266.2,1.0,139.1,253.2,1.0,124.5,295.8,1.0,112.7,208.9,113.25,268.0,2025-04-30 07:35:26.472862208+09:00
7,99.56,211.4,0.1199,127.3,209.6,1.0,110.6,188.9,0.703,110.0,253.0,1.0,82.3,260.8,1.0,138.2,248.1,1.0,121.5,293.2,1.0,112.5,203.4,113.0,263.8,2025-04-30 07:35:26.524367616+09:00
8,97.6,201.8,0.7744,128.6,212.2,1.0,109.1,186.6,0.937,108.0,247.5,1.0,79.94,254.0,1.0,138.8,247.2,1.0,119.7,293.8,1.0,111.8,200.1,111.6,260.8,2025-04-30 07:35:26.574396928+09:00
9,95.6,192.1,0.9517,129.6,207.0,1.0,121.4,178.6,0.998,106.25,243.4,1.0,79.3,247.4,1.0,138.6,243.5,1.0,117.0,292.2,1.0,115.5,192.5,110.25,256.5,2025-04-30 07:35:26.624161792+09:00
10,88.2,192.6,1.0,134.9,200.1,1.0,123.44,174.2,0.9946,102.1,235.2,1.0,75.56,236.9,1.0,138.6,238.5,1.0,113.75,291.2,1.0,115.5,189.0,107.56,250.5,2025-04-30 07:35:26.674578688+09:00
11,87.94,187.6,1.0,132.5,198.9,1.0,124.2,175.5,0.9917,106.25,237.1,1.0,77.94,235.1,1.0,136.1,236.6,1.0,110.56,288.8,1.0,114.94,187.4,107.75,249.5,2025-04-30 07:35:26.724135680+09:00
12,89.25,190.1,1.0,132.9,196.2,1.0,119.44,173.2,1.0,102.5,231.0,1.0,74.44,231.1,1.0,133.5,231.9,1.0,107.9,287.0,1.0,113.8,186.6,104.6,245.2,2025-04-30 07:35:26.775111168+09:00
13,89.3,188.0,1.0,130.1,196.0,1.0,116.2,173.6,1.0,100.9,230.0,1.0,72.94,229.1,1.0,132.0,231.4,1.0,103.4,285.8,1.0,111.94,185.9,102.25,244.0,2025-04-30 07:35:26.825882624+09:00
14,85.06,189.8,1.0,123.25,197.6,1.0,103.25,165.2,0.996,100.3,232.0,1.0,70.4,229.4,1.0,132.2,233.5,1.0,102.75,285.2,1.0,103.8,184.4,101.44,245.0,2025-04-30 07:35:26.874859776+09:00
15,81.06,193.9,1.0,131.8,199.9,1.0,107.1,170.8,0.512,101.25,233.0,1.0,69.25,234.2,1.0,129.0,236.8,1.0,99.4,288.2,1.0,106.7,188.1,99.75,248.0,2025-04-30 07:35:26.926573824+09:00
16,81.1,193.6,1.0,129.8,203.6,1.0,110.94,176.2,0.9937,97.5,233.0,1.0,67.75,232.0,1.0,128.5,237.2,1.0,100.2,286.5,1.0,107.25,191.1,98.5,247.1,2025-04-30 07:35:26.976601088+09:00
17,83.7,193.1,0.9985,129.0,205.1,1.0,118.75,179.2,0.519,101.1,237.6,1.0,71.2,238.4,1.0,129.8,238.8,1.0,99.7,287.5,1.0,110.5,192.5,100.44,250.6,2025-04-30 07:35:27.026102528+09:00
18,87.4,193.6,0.9062,127.1,203.4,1.0,126.56,182.2,0.9854,99.44,236.5,1.0,70.5,238.0,1.0,129.8,241.0,1.0,101.3,286.5,1.0,113.7,193.0,100.25,250.5,2025-04-30 07:35:27.076605184+09:00
19,84.75,193.0,0.9634,124.75,204.1,1.0,128.8,183.4,0.9956,99.94,236.5,1.0,70.5,237.0,1.0,129.1,239.6,1.0,102.2,285.0,1.0,112.75,193.5,100.44,249.5,2025-04-30 07:35:27.126106880+09:00
20,86.75,193.6,0.9976,125.4,201.5,1.0,128.9,185.8,0.997,99.6,235.5,1.0,70.6,237.2,1.0,129.2,240.0,1.0,101.8,286.8,1.0,113.7,193.6,100.3,250.0,2025-04-30 07:35:27.176345088+09:00
21,84.25,193.2,0.999,126.8,201.5,0.999,129.2,188.1,0.99,98.75,236.0,1.0,69.5,236.5,1.0,129.6,241.1,1.0,100.94,286.0,1.0,113.44,194.4,99.75,249.9,2025-04-30 07:35:27.226276864+09:00
22,84.44,192.8,0.999,125.4,199.9,1.0,132.2,192.5,0.5728,99.2,234.8,1.0,69.3,232.5,1.0,129.2,242.4,1.0,99.94,285.8,1.0,114.0,195.0,99.44,248.8,2025-04-30 07:35:27.276514816+09:00
23,91.6,189.9,0.718,128.0,209.8,1.0,135.4,197.0,0.9995,99.56,235.6,1.0,68.0,231.2,1.0,126.44,244.0,1.0,100.25,284.5,1.0,118.3,198.9,98.56,248.9,2025-04-30 07:35:27.328016640+09:00
24,98.9,187.0,0.914,126.8,206.1,1.0,140.9,201.6,0.9688,98.56,234.8,1.0,66.6,229.4,1.0,127.0,244.2,1.0,99.56,283.2,1.0,122.2,198.1,97.94,247.8,2025-04-30 07:35:27.377256192+09:00
25,106.0,183.8,0.9727,128.6,206.9,1.0,142.6,198.9,0.9995,98.56,232.6,1.0,68.0,227.6,1.0,127.56,242.2,1.0,96.94,284.5,1.0,125.75,196.5,97.75,246.8,2025-04-30 07:35:27.428967680+09:00
26,106.6,178.2,0.9897,131.2,202.8,1.0,129.1,182.5,0.998,93.6,231.0,1.0,67.9,224.1,0.999,125.1,243.5,1.0,95.3,282.5,1.0,122.3,187.9,95.44,245.2,2025-04-30 07:35:27.478467840+09:00
27,108.94,173.1,0.8613,131.8,198.1,1.0,120.2,174.1,1.0,91.6,228.9,1.0,64.6,219.6,1.0,119.25,237.9,1.0,93.06,277.0,1.0,120.3,181.9,92.1,240.9,2025-04-30 07:35:27.528231680+09:00
28,111.25,168.0,0.947,131.8,187.0,1.0,130.4,174.1,0.4578,90.8,222.5,1.0,64.4,213.1,1.0,118.4,230.8,1.0,91.4,272.5,1.0,124.5,176.4,91.25,234.6,2025-04-30 07:35:27.577468672+09:00
29,114.3,164.8,0.7144,135.0,184.0,1.0,140.6,174.2,0.3167,97.3,214.9,1.0,67.06,204.1,1.0,124.0,224.0,1.0,91.3,266.2,1.0,130.0,174.4,94.94,227.2,2025-04-30 07:35:27.629358592+09:00
30,117.4,161.6,1.0,139.5,183.6,1.0,150.9,174.2,1.0,103.4,211.5,1.0,72.44,200.8,1.0,127.56,222.2,1.0,93.25,262.8,1.0,136.0,173.1,99.1,224.2,2025-04-30 07:35:27.679860480+09:00
31,121.75,156.6,0.998,142.0,178.0,1.0,153.9,165.4,0.9995,106.94,206.0,1.0,77.5,196.6,1.0,131.4,218.1,1.0,96.7,255.4,1.0,139.1,166.6,103.2,219.0,2025-04-30 07:35:27.729364224+09:00
32,124.6,148.5,0.998,146.4,175.5,1.0,165.1,161.6,1.0,110.94,201.8,1.0,82.94,189.1,1.0,135.1,212.6,1.0,97.75,252.5,1.0,145.4,161.9,106.7,214.0,2025-04-30 07:35:27.779866112+09:00
33,128.9,146.4,0.9985,152.0,169.9,1.0,169.0,161.2,1.0,114.06,197.5,1.0,87.3,183.9,1.0,136.1,209.4,1.0,98.56,245.6,1.0,150.0,159.1,109.0,209.1,2025-04-30 07:35:27.829894912+09:00
34,136.8,143.5,0.9966,157.1,166.4,1.0,169.6,155.4,1.0,115.8,193.8,1.0,88.2,183.4,1.0,138.5,205.9,1.0,97.06,239.1,1.0,154.5,155.1,109.9,205.5,2025-04-30 07:35:27.880066816+09:00
35,142.4,138.2,0.9907,155.2,162.4,1.0,175.1,156.0,1.0,115.94,183.1,1.0,91.7,174.5,1.0,139.8,198.9,1.0,95.25,232.4,1.0,157.5,152.1,110.7,197.2,2025-04-30 07:35:27.931833856+09:00
36,142.8,141.2,0.9185,156.0,161.1,1.0,172.9,145.9,0.9873,117.4,177.8,1.0,94.5,171.0,1.0,140.0,192.5,1.0,92.94,229.0,1.0,157.1,149.5,111.25,192.5,2025-04-30 07:35:27.981336832+09:00
37,135.8,133.2,1.0,155.6,159.8,1.0,169.9,140.6,0.9995,115.06,177.4,1.0,90.94,163.6,1.0,137.5,190.1,1.0,90.2,223.2,1.0,153.9,144.5,108.44,188.5,2025-04-30 07:35:28.031309568+09:00
38,123.7,134.5,1.0,155.5,155.1,1.0,151.6,130.0,0.9995,114.25,176.6,1.0,88.8,165.0,1.0,137.8,188.9,1.0,90.8,222.9,1.0,143.6,139.9,107.9,188.4,2025-04-30 07:35:28.082284032+09:00
39,120.6,132.6,1.0,154.9,152.2,1.0,148.8,126.9,1.0,112.4,177.0,1.0,87.0,164.6,1.0,137.8,187.5,1.0,90.94,221.5,1.0,141.4,137.4,107.0,187.6,2025-04-30 07:35:28.130994176+09:00
40,120.56,130.8,1.0,155.1,146.9,1.0,148.0,122.8,0.9995,112.44,177.1,1.0,85.0,161.9,1.0,137.9,186.9,1.0,92.6,220.4,1.0,141.2,133.4,107.0,186.6,2025-04-30 07:35:28.182230016+09:00
41,112.2,125.44,1.0,151.0,140.2,1.0,158.5,124.7,0.999,113.7,173.2,1.0,84.5,163.8,1.0,138.5,182.6,1.0,94.4,216.6,1.0,140.6,130.1,107.75,184.0,2025-04-30 07:35:28.232867328+09:00
42,110.7,124.0,1.0,152.8,143.9,1.0,160.9,119.44,1.0,113.0,169.6,1.0,84.7,163.0,1.0,139.2,179.9,1.0,96.9,217.8,1.0,141.5,129.1,108.5,182.5,2025-04-30 07:35:28.282632192+09:00
43,112.7,128.8,1.0,157.9,138.5,1.0,142.9,112.2,0.9995,114.3,170.6,1.0,83.9,162.4,1.0,140.0,178.5,1.0,101.06,217.4,1.0,137.9,126.5,109.8,182.2,2025-04-30 07:35:28.333343744+09:00
44,109.7,129.8,1.0,156.8,141.0,1.0,154.2,118.25,0.998,114.8,171.1,1.0,85.25,164.0,1.0,142.0,179.6,1.0,101.56,221.6,1.0,140.2,129.6,110.9,184.0,2025-04-30 07:35:28.382350592+09:00
45,112.2,133.4,1.0,152.0,143.9,1.0,144.4,120.06,1.0,112.56,174.9,1.0,82.5,164.4,1.0,139.1,183.9,1.0,103.06,223.4,1.0,136.1,132.4,109.25,186.6,2025-04-30 07:35:28.432379904+09:00
46,106.1,137.1,1.0,148.8,144.2,1.0,136.8,116.56,1.0,113.6,174.9,1.0,84.3,173.6,1.0,141.6,180.9,1.0,104.06,222.0,1.0,130.5,132.6,110.9,187.9,2025-04-30 07:35:28.483565824+09:00
47,103.94,133.9,1.0,146.8,142.6,1.0,143.6,120.8,1.0,111.8,173.6,1.0,82.0,172.5,1.0,142.6,182.0,1.0,106.06,222.6,1.0,131.5,132.4,110.6,187.6,2025-04-30 07:35:28.535067904+09:00
48,105.94,130.1,1.0,145.8,139.1,1.0,143.4,116.4,1.0,111.7,171.8,1.0,83.1,168.4,1.0,141.9,178.5,1.0,104.9,220.0,1.0,131.6,128.5,110.4,184.6,2025-04-30 07:35:28.584569344+09:00
49,102.25,126.7,1.0,144.6,135.5,1.0,144.1,112.2,1.0,113.1,169.9,1.0,85.56,169.4,1.0,143.4,174.6,1.0,104.75,221.1,1.0,130.4,124.8,111.7,183.8,2025-04-30 07:35:28.635802368+09:00
50,104.75,122.6,1.0,143.9,131.5,1.0,143.8,113.5,1.0,111.0,170.5,1.0,82.9,166.1,1.0,142.8,172.8,1.0,106.06,221.1,1.0,130.9,122.5,110.6,182.6,2025-04-30 07:35:28.685157888+09:00
51,101.25,124.1,1.0,143.5,135.0,1.0,145.9,111.1,1.0,112.4,169.8,1.0,84.25,166.4,1.0,141.4,172.4,1.0,107.3,220.8,1.0,130.1,123.3,111.3,182.2,2025-04-30 07:35:28.734659584+09:00
52,99.44,122.94,1.0,143.2,130.9,1.0,147.4,110.9,1.0,112.0,169.0,1.0,84.8,165.4,1.0,141.5,171.1,1.0,107.2,221.5,1.0,130.0,121.5,111.4,181.8,2025-04-30 07:35:28.784635648+09:00
53,105.25,122.1,1.0,143.2,131.8,1.0,145.1,108.5,1.0,110.3,171.0,1.0,84.4,166.4,1.0,140.5,170.9,1.0,107.94,223.5,1.0,131.1,120.8,110.8,183.0,2025-04-30 07:35:28.836402432+09:00
