,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,snout,snout,snout,centroid,centroid,centroid,left_lateral,left_lateral,left_lateral,right_lateral,right_lateral,right_lateral,tail_base,tail_base,tail_base,head_center,head_center,body_center,body_center,time
,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,x,y,
0,333.2,326.0,1.0,308.2,330.0,0.999,333.2,376.2,1.0,318.5,277.0,1.0,345.8,279.2,1.0,296.0,273.5,1.0,322.2,234.1,1.0,325.0,344.0,320.5,266.0,2025-05-07 08:08:16.143077120+09:00
1,333.2,337.2,1.0,308.0,333.2,0.999,328.8,374.8,0.9995,320.8,282.2,1.0,345.8,283.2,1.0,299.0,276.8,1.0,320.0,237.2,1.0,323.2,348.2,321.5,269.8,2025-05-07 08:08:16.192668416+09:00
2,332.5,325.2,1.0,306.8,330.2,0.9995,330.2,374.8,0.9976,318.2,281.2,1.0,343.2,281.0,1.0,297.5,279.8,1.0,317.8,238.8,1.0,323.0,343.2,319.2,270.2,2025-05-07 08:08:16.269525504+09:00
3,333.2,333.5,1.0,307.0,333.8,1.0,323.2,376.8,0.9976,317.0,285.2,1.0,344.5,280.8,1.0,296.8,279.0,1.0,317.5,239.4,1.0,321.0,348.0,319.0,271.0,2025-05-07 08:08:16.294334976+09:00
4,332.5,328.2,1.0,308.2,334.8,1.0,323.2,379.8,0.999,317.5,281.8,1.0,341.2,278.8,1.0,299.0,279.2,1.0,316.2,240.6,1.0,321.2,347.8,318.5,270.2,2025-05-07 08:08:16.344391168+09:00
5,331.8,341.8,0.9995,305.8,336.2,1.0,319.0,380.0,1.0,316.8,285.5,1.0,342.8,279.0,1.0,297.8,279.8,1.0,317.8,240.9,1.0,318.8,352.8,318.8,271.2,2025-05-07 08:08:16.394957312+09:00
6,330.0,336.2,0.8394,305.5,335.2,0.9946,313.0,364.2,0.7383,317.8,281.2,1.0,343.5,280.2,1.0,297.5,279.0,1.0,318.2,241.6,1.0,316.2,345.2,319.2,270.5,2025-05-07 08:08:16.443080448+09:00
7,328.2,330.8,0.6104,309.5,320.0,0.953,306.8,348.2,0.3325,318.8,280.2,1.0,342.0,279.8,1.0,298.2,278.2,1.0,316.8,241.9,1.0,315.0,333.0,319.0,270.0,2025-05-07 08:08:16.495329024+09:00
8,326.5,325.2,0.9634,301.2,309.8,0.9546,300.8,332.5,0.977,318.2,280.2,1.0,340.8,278.8,1.0,296.8,281.8,1.0,316.5,242.2,1.0,309.8,322.5,318.0,270.8,2025-05-07 08:08:16.544073728+09:00
9,331.8,325.2,0.9995,304.0,325.2,0.986,304.5,333.5,0.7666,317.5,282.0,1.0,341.0,280.5,1.0,295.8,283.2,1.0,315.2,242.9,1.0,313.5,328.0,317.2,272.2,2025-05-07 08:08:16.594072576+09:00
10,324.0,329.0,0.9204,307.0,323.5,0.5605,308.5,334.5,0.2876,317.0,282.2,1.0,341.5,280.8,1.0,297.2,281.2,1.0,316.0,242.9,1.0,313.2,329.0,318.0,271.8,2025-05-07 08:08:16.645053184+09:00
11,326.0,326.0,0.9897,310.2,321.5,0.982,312.2,335.5,0.1475,318.5,278.8,1.0,340.5,277.8,1.0,296.8,281.5,1.0,316.5,242.5,1.0,316.0,327.8,318.0,270.0,2025-05-07 08:08:16.695990528+09:00
12,319.8,328.5,0.938,311.0,318.2,0.9624,316.2,336.2,0.8145,318.2,278.5,1.0,339.5,278.2,1.0,296.2,281.0,1.0,316.2,242.8,1.0,315.8,327.8,317.5,270.2,2025-05-07 08:08:16.744345856+09:00
13,327.5,325.8,0.9995,306.8,322.8,0.985,320.0,337.2,0.7295,317.8,280.2,1.0,341.8,278.5,1.0,295.8,283.5,1.0,315.8,242.8,1.0,318.0,328.8,317.8,271.2,2025-05-07 08:08:16.794766080+09:00
14,329.0,323.8,0.847,307.2,324.0,0.1771,324.0,338.2,0.0323,317.0,282.5,1.0,341.2,279.5,1.0,298.8,280.8,1.0,317.5,242.8,1.0,320.0,328.8,318.5,271.5,2025-05-07 08:08:16.845526528+09:00
15,330.5,321.8,1.0,307.8,325.2,0.994,327.8,339.2,0.991,318.0,281.0,1.0,339.8,278.0,1.0,297.8,283.0,1.0,316.0,243.0,1.0,322.0,328.8,318.0,271.2,2025-05-07 08:08:16.895384320+09:00
16,333.2,322.5,0.5977,305.8,326.8,0.964,325.5,346.0,0.012566,316.8,282.0,1.0,339.5,278.2,1.0,298.5,282.2,1.0,317.0,242.5,1.0,321.5,331.8,318.0,271.0,2025-05-07 08:08:16.946123776+09:00
17,336.0,323.0,0.9976,307.0,320.5,0.9927,323.2,352.8,0.7485,316.8,282.2,1.0,341.2,277.2,1.0,297.5,281.2,1.0,316.8,242.4,1.0,322.0,332.0,318.0,270.8,2025-05-07 08:08:16.996163328+09:00
18,333.8,328.2,1.0,308.8,328.2,0.9844,321.0,359.5,0.25,317.8,282.2,1.0,341.8,280.8,1.0,297.0,284.8,1.0,316.2,242.9,1.0,321.2,338.8,318.2,272.8,2025-05-07 08:08:17.047914496+09:00
19,333.5,327.8,0.9995,309.5,329.2,0.821,318.5,366.0,0.3225,318.8,282.2,1.0,342.8,280.8,1.0,296.8,285.2,1.0,315.8,242.6,1.0,320.5,341.0,318.5,272.8,2025-05-07 08:08:17.098261504+09:00
20,333.8,329.8,0.9985,310.2,330.2,1.0,316.2,372.8,0.839,317.8,283.0,1.0,345.5,280.8,1.0,296.2,284.2,1.0,315.8,240.6,1.0,320.0,344.2,318.8,272.2,2025-05-07 08:08:17.147607296+09:00
21,331.5,337.8,0.995,308.5,330.8,1.0,314.0,379.5,0.978,318.8,282.0,1.0,344.2,281.5,1.0,297.2,287.2,1.0,316.8,241.8,1.0,318.0,349.2,319.2,273.2,2025-05-07 08:08:17.198202880+09:00
22,329.5,336.5,0.9995,305.0,330.0,1.0,310.8,380.5,1.0,319.2,282.5,1.0,343.8,281.8,1.0,295.5,286.5,1.0,316.2,242.5,1.0,315.0,349.0,318.8,273.2,2025-05-07 08:08:17.248504320+09:00
23,325.2,329.0,0.999,308.0,328.5,0.994,309.5,378.2,1.0,319.8,282.2,1.0,343.5,280.0,1.0,297.2,283.2,1.0,316.0,243.8,1.0,314.2,345.2,319.0,272.2,2025-05-07 08:08:17.298604800+09:00
24,328.5,329.2,1.0,304.2,330.5,1.0,307.8,377.8,1.0,318.8,282.2,1.0,346.0,283.8,1.0,297.2,283.8,1.0,319.0,242.4,1.0,313.8,346.0,320.2,273.0,2025-05-07 08:08:17.348967424+09:00
25,330.8,331.5,1.0,305.8,330.5,1.0,307.0,375.5,1.0,318.5,282.2,1.0,344.8,282.2,1.0,296.0,288.8,1.0,318.0,243.2,1.0,314.5,346.0,319.2,274.0,2025-05-07 08:08:17.399024384+09:00
26,328.0,330.5,0.999,305.0,332.2,1.0,304.5,368.5,1.0,315.5,283.5,1.0,343.5,283.2,1.0,296.2,286.2,1.0,321.0,243.9,1.0,312.5,344.0,319.0,274.2,2025-05-07 08:08:17.449379328+09:00
27,326.5,328.8,1.0,305.8,324.2,1.0,301.8,360.5,1.0,317.8,288.0,1.0,345.5,291.0,1.0,294.5,286.0,1.0,323.2,247.5,1.0,311.2,337.8,320.2,278.0,2025-05-07 08:08:17.499629312+09:00
28,327.5,328.0,1.0,301.0,326.2,1.0,294.2,367.5,1.0,317.8,288.8,1.0,343.2,293.8,1.0,295.8,287.8,1.0,322.0,249.5,1.0,307.8,340.5,319.8,280.0,2025-05-07 08:08:17.548495616+09:00
29,327.8,324.2,1.0,297.2,324.2,1.0,282.0,374.8,1.0,315.8,288.2,1.0,342.0,293.0,1.0,295.2,288.0,1.0,321.2,251.0,1.0,302.2,341.0,318.5,280.0,2025-05-07 08:08:17.599969280+09:00
30,322.0,326.0,1.0,291.0,325.8,1.0,274.2,378.2,1.0,314.0,289.5,1.0,341.5,293.0,1.0,289.5,289.8,1.0,326.0,256.8,1.0,295.8,343.2,317.8,282.2,2025-05-07 08:08:17.650408192+09:00
31,315.8,328.2,1.0,290.0,322.8,1.0,274.2,375.5,1.0,313.5,294.8,1.0,340.0,301.0,1.0,289.8,288.5,1.0,323.2,259.8,1.0,293.2,342.0,316.5,286.0,2025-05-07 08:08:17.700572672+09:00
32,304.8,326.5,0.999,281.5,332.0,0.998,262.0,376.0,1.0,312.8,299.5,1.0,336.5,306.5,1.0,293.0,290.0,1.0,324.0,263.0,1.0,282.8,344.8,316.5,289.8,2025-05-07 08:08:17.751336448+09:00
33,290.8,358.8,0.999,278.0,339.0,0.993,259.5,377.2,1.0,316.8,305.0,1.0,338.0,309.0,1.0,299.0,297.0,0.9897,323.8,267.2,1.0,276.2,358.2,319.5,294.5,2025-05-07 08:08:17.800043776+09:00
34,305.2,341.0,1.0,281.5,345.0,0.998,264.8,382.0,1.0,316.8,303.8,1.0,336.5,317.0,1.0,293.0,297.8,1.0,324.8,270.5,1.0,284.0,356.0,317.8,297.5,2025-05-07 08:08:17.850544640+09:00
35,302.2,342.2,1.0,280.2,340.2,1.0,261.5,384.5,1.0,313.5,310.5,1.0,333.0,322.8,1.0,292.5,299.0,1.0,325.8,276.8,1.0,281.2,355.8,316.2,302.2,2025-05-07 08:08:17.900931072+09:00
36,299.2,341.8,1.0,280.0,342.5,0.9966,257.0,386.5,1.0,309.0,312.5,1.0,330.2,327.0,1.0,290.0,301.5,1.0,323.5,280.2,1.0,278.8,356.8,313.0,305.2,2025-05-07 08:08:17.951220992+09:00
37,296.5,349.2,1.0,271.2,345.2,1.0,247.8,388.8,1.0,307.5,312.0,1.0,327.8,330.2,1.0,288.5,299.8,1.0,321.0,281.0,1.0,272.0,361.0,311.0,305.8,2025-05-07 08:08:18.001175296+09:00
38,294.8,351.5,1.0,274.0,345.0,1.0,245.6,386.8,1.0,303.8,313.8,1.0,326.5,330.2,1.0,288.5,302.2,1.0,320.0,280.5,1.0,271.5,361.0,309.5,306.5,2025-05-07 08:08:18.051513088+09:00
39,286.8,353.8,0.999,267.5,343.0,0.9995,236.8,388.5,0.999,304.2,315.2,1.0,323.0,331.0,1.0,287.5,301.2,1.0,317.0,280.8,1.0,263.8,362.0,308.0,307.0,2025-05-07 08:08:18.101480448+09:00
40,281.5,344.8,0.997,275.5,336.2,0.9995,244.0,387.5,1.0,304.8,312.0,1.0,326.2,329.5,1.0,288.0,302.0,1.0,319.8,280.2,1.0,267.0,356.0,309.8,306.0,2025-05-07 08:08:18.152248576+09:00
41,289.8,340.8,0.9995,275.0,336.5,1.0,247.6,386.0,0.9985,307.2,310.8,1.0,329.8,324.8,1.0,290.2,300.8,1.0,318.0,278.8,1.0,270.8,354.2,311.2,303.8,2025-05-07 08:08:18.202444544+09:00
42,290.8,341.8,1.0,275.2,335.2,1.0,250.0,382.5,1.0,310.2,307.5,1.0,330.0,320.5,1.0,291.5,298.8,1.0,320.0,277.0,1.0,272.0,353.2,313.0,301.0,2025-05-07 08:08:18.252856832+09:00
43,295.5,344.0,1.0,278.0,336.2,1.0,261.2,383.8,1.0,311.5,308.2,1.0,331.8,318.8,1.0,291.0,299.8,1.0,319.5,275.2,1.0,278.2,354.8,313.5,300.5,2025-05-07 08:08:18.302879488+09:00
44,291.8,349.5,0.999,281.0,330.5,0.994,260.5,386.5,1.0,309.0,306.8,1.0,330.8,321.8,1.0,292.8,296.2,1.0,319.8,275.5,1.0,277.8,355.2,313.2,300.0,2025-05-07 08:08:18.354546688+09:00
45,286.2,361.0,0.9897,279.0,345.8,1.0,267.0,378.8,0.653,309.2,311.5,1.0,327.0,328.8,1.0,289.2,301.0,1.0,319.8,275.2,1.0,277.2,362.0,311.2,304.0,2025-05-07 08:08:18.403375616+09:00
46,296.2,361.2,0.9785,279.0,345.5,1.0,273.8,371.0,0.303,309.2,314.0,1.0,327.2,329.0,1.0,287.8,303.8,1.0,319.5,276.2,1.0,283.0,359.2,311.0,305.8,2025-05-07 08:08:18.453990144+09:00
47,295.2,359.5,0.997,276.2,345.0,1.0,280.2,363.2,1.0,308.8,316.0,1.0,327.8,329.2,1.0,288.5,301.5,1.0,318.0,276.2,1.0,284.0,356.0,310.8,305.8,2025-05-07 08:08:18.505011200+09:00
48,298.5,356.8,0.922,277.8,345.8,1.0,283.0,363.0,1.0,308.8,316.0,1.0,327.5,328.2,1.0,288.2,302.8,1.0,318.8,276.8,1.0,286.2,355.2,310.8,306.0,2025-05-07 08:08:18.555632384+09:00
49,297.2,361.2,0.9927,276.2,342.8,1.0,282.5,363.0,0.999,308.5,315.5,1.0,327.5,331.2,1.0,288.2,301.8,1.0,319.0,276.5,1.0,285.2,355.8,310.8,306.5,2025-05-07 08:08:18.606014208+09:00
50,293.2,361.8,0.9985,276.8,346.8,1.0,281.0,363.5,0.56,308.0,316.5,1.0,326.2,332.0,1.0,289.8,302.2,1.0,317.8,276.5,1.0,283.8,357.2,310.5,307.0,2025-05-07 08:08:18.656291584+09:00
51,292.5,363.0,1.0,278.0,347.2,1.0,279.5,363.8,0.571,306.8,316.5,1.0,325.8,331.8,1.0,289.8,302.0,1.0,318.8,277.5,1.0,283.2,358.0,310.2,307.0,2025-05-07 08:08:18.706356224+09:00
52,294.2,363.8,0.9985,278.2,349.2,1.0,278.0,364.0,0.7227,306.8,318.2,1.0,327.0,332.8,1.0,288.0,305.2,1.0,317.5,276.2,1.0,283.5,359.0,310.0,308.0,2025-05-07 08:08:18.756603904+09:00
53,291.8,363.2,0.9995,277.2,348.5,1.0,276.5,364.5,0.9956,307.0,317.5,1.0,327.0,333.0,1.0,288.5,304.0,1.0,319.5,276.2,1.0,281.8,358.8,310.5,307.8,2025-05-07 08:08:18.806470656+09:00
54,294.5,361.2,1.0,277.5,347.8,1.0,278.8,364.0,0.991,306.8,317.2,1.0,326.0,332.5,1.0,288.8,303.0,1.0,319.0,277.0,1.0,283.8,357.8,310.2,307.5,2025-05-07 08:08:18.856652032+09:00
55,292.2,360.8,1.0,276.8,346.0,0.9995,276.0,364.8,0.995,306.5,317.8,1.0,325.8,331.8,1.0,289.5,303.2,1.0,319.2,277.0,1.0,281.8,357.2,310.2,307.5,2025-05-07 08:08:18.907441664+09:00
56,292.2,360.2,1.0,277.2,345.5,1.0,277.5,364.8,0.9995,308.0,316.2,1.0,327.0,331.0,1.0,289.5,302.2,1.0,319.2,276.5,1.0,282.2,357.0,311.0,306.5,2025-05-07 08:08:18.957920512+09:00
57,293.5,362.8,1.0,277.2,345.8,1.0,276.2,365.2,1.0,308.5,315.8,1.0,327.2,330.2,1.0,288.8,302.2,1.0,318.8,276.0,1.0,282.2,358.0,311.0,306.0,2025-05-07 08:08:19.006412544+09:00
58,296.8,364.8,0.9995,276.2,348.2,1.0,275.0,368.5,0.9995,308.2,317.0,1.0,329.0,330.0,1.0,288.2,302.8,1.0,317.2,275.8,1.0,282.8,360.8,310.5,306.5,2025-05-07 08:08:19.058084608+09:00
