,start_time,end_time,event_name
0,909.25152,929.51436,Centroid~10mm_per_s
1,938.41392,956.76612,Centroid~10mm_per_s
2,969.3864,981.15192,Centroid~10mm_per_s
3,981.60444,1010.26404,Centroid~10mm_per_s
4,1024.09104,1102.8798,Centroid~10mm_per_s
5,1115.7012,1133.50032,Centroid~10mm_per_s
6,1133.70144,1217.31708,Centroid~10mm_per_s
7,1260.45732,1271.66976,Centroid~10mm_per_s
8,1348.89984,1360.11228,Centroid~10mm_per_s
9,1366.95036,1413.30852,Centroid~10mm_per_s
10,1522.7178,1563.5451600000001,Centroid~10mm_per_s
11,1563.7462799999998,1576.56768,Centroid~10mm_per_s
12,1588.43376,1614.52908,Centroid~10mm_per_s
