frame,x,y
0,112.0,148.0
1,112.0,148.0
2,112.0,148.0
3,112.0,148.0
4,112.0,148.0
5,112.0,148.0
6,112.0,148.0
7,112.0,148.0
8,112.0,148.0
9,112.0,148.0
10,112.0,148.0
11,112.0,148.0
12,112.0,148.0
13,112.0,148.0
14,112.0,148.0
15,112.0,148.0
16,112.0,148.0
17,112.0,148.0
18,112.0,148.0
19,112.0,148.0
20,112.0,148.0
21,112.0,148.0
22,112.0,148.0
23,112.0,148.0
24,112.0,148.0
25,112.0,148.0
26,112.0,148.0
27,112.0,148.0
28,112.0,148.0
29,112.0,148.0
30,112.0,148.0
31,112.0,148.0
32,112.0,148.0
33,112.0,148.0
34,112.0,148.0
35,112.0,148.0
36,112.0,148.0
37,112.0,148.0
38,112.0,148.0
39,112.0,148.0
40,112.0,148.0
41,112.0,148.0
42,112.0,148.0
43,112.0,148.0
44,112.0,148.0
45,112.0,148.0
46,112.0,148.0
47,112.0,148.0
48,112.0,148.0
49,112.0,148.0
50,112.0,148.0
51,112.0,148.0
52,112.0,148.0
53,112.0,148.0
54,112.0,148.0
55,112.0,148.0
56,112.0,148.0
57,112.0,148.0
58,112.0,148.0
59,112.0,148.0
60,112.0,148.0
61,112.0,148.0
62,112.0,148.0
63,112.0,148.0
64,112.0,148.0
65,112.0,148.0
66,112.0,148.0
67,112.0,148.0
68,112.0,148.0
69,112.0,148.0
70,112.0,148.0
71,112.0,148.0
72,112.0,148.0
73,112.0,148.0
74,112.0,148.0
75,112.0,148.0
76,112.0,148.0
77,112.0,148.0
78,112.0,148.0
79,112.0,148.0
80,112.0,148.0
81,112.0,148.0
82,112.0,148.0
83,112.0,148.0
84,112.0,148.0
85,112.0,148.0
86,112.0,148.0
87,112.0,148.0
88,112.0,148.0
89,112.0,148.0
90,112.0,148.0
91,112.0,148.0
92,112.0,148.0
93,112.0,148.0
94,112.0,148.0
95,112.0,148.0
96,112.0,148.0
97,112.0,148.0
98,112.0,148.0
99,112.0,148.0
100,112.0,148.0
101,112.0,148.0
102,112.0,148.0
103,112.0,148.0
104,112.0,148.0
105,112.0,148.0
106,112.0,148.0
